ATTITUDE {time_boot_ms : 831159, roll : -0.08846554905176163, pitch : -0.022585555911064148, yaw : -2.2103521823883057, rollspeed : -0.00043920683674514294, pitchspeed : -0.0003514536074362695, yawspeed : -0.0007676754612475634}
ATTITUDE {time_boot_ms : 831209, roll : -0.08849459886550903, pitch : -0.022599216550588608, yaw : -2.210357666015625, rollspeed : -0.000525991665199399, pitchspeed : -0.0011195597471669316, yawspeed : 7.037789328023791e-05}
ATTITUDE {time_boot_ms : 831259, roll : -0.08842174708843231, pitch : -0.022649358958005905, yaw : -2.2103781700134277, rollspeed : 0.001285157399252057, pitchspeed : -0.0008976684184744954, yawspeed : -0.000671715650241822}
ATTITUDE {time_boot_ms : 831309, roll : -0.0884111300110817, pitch : -0.02270926907658577, yaw : -2.210387945175171, rollspeed : 0.0009540694300085306, pitchspeed : -0.0009012841619551182, yawspeed : -0.00020068412413820624}
ATTITUDE {time_boot_ms : 831359, roll : -0.08838734775781631, pitch : -0.02276613563299179, yaw : -2.2103829383850098, rollspeed : 0.00035737850703299046, pitchspeed : -0.000994637724943459, yawspeed : 0.0007990088779479265}
ATTITUDE {time_boot_ms : 831410, roll : -0.0883990079164505, pitch : -0.022798851132392883, yaw : -2.2103958129882812, rollspeed : -6.932485848665237e-05, pitchspeed : 8.865496783982962e-05, yawspeed : -0.0004876826424151659}
ATTITUDE {time_boot_ms : 831460, roll : -0.08842580765485764, pitch : -0.02278253436088562, yaw : -2.2103991508483887, rollspeed : -0.0011131882201880217, pitchspeed : 0.0006970579270273447, yawspeed : 0.0003642412484623492}
ATTITUDE {time_boot_ms : 831510, roll : -0.08843831717967987, pitch : -0.022741097956895828, yaw : -2.21041202545166, rollspeed : -0.00015673134475946426, pitchspeed : 0.0005978711415082216, yawspeed : -1.2331001926213503e-05}
ATTITUDE {time_boot_ms : 831562, roll : -0.08844754844903946, pitch : -0.022794347256422043, yaw : -2.210402011871338, rollspeed : -0.0005919716786593199, pitchspeed : -0.0013277303660288453, yawspeed : -6.865401519462466e-05}
ATTITUDE {time_boot_ms : 831610, roll : -0.08846046030521393, pitch : -0.02282722294330597, yaw : -2.2103967666625977, rollspeed : -0.000752562889829278, pitchspeed : -0.0007128249853849411, yawspeed : 0.0009615789167582989}
ATTITUDE {time_boot_ms : 831660, roll : -0.0884614884853363, pitch : -0.022859446704387665, yaw : -2.210395097732544, rollspeed : 0.00018758932128548622, pitchspeed : -0.0005669628735631704, yawspeed : -0.0002480734256096184}
ATTITUDE {time_boot_ms : 831710, roll : -0.08843425661325455, pitch : -0.02285318449139595, yaw : -2.210406541824341, rollspeed : -0.00011527142487466335, pitchspeed : -1.3712357031181455e-05, yawspeed : -0.00015573558630421758}
ATTITUDE {time_boot_ms : 831760, roll : -0.08839738368988037, pitch : -0.02290882170200348, yaw : -2.2104077339172363, rollspeed : 0.0006524871569126844, pitchspeed : -0.001299299648962915, yawspeed : 0.00025347020709887147}
ATTITUDE {time_boot_ms : 831810, roll : -0.0884210392832756, pitch : -0.02292109653353691, yaw : -2.2104077339172363, rollspeed : -0.00029017357155680656, pitchspeed : -0.00011823611566796899, yawspeed : 0.00016076007159426808}
ATTITUDE {time_boot_ms : 831860, roll : -0.088407002389431, pitch : -0.022927958518266678, yaw : -2.210409164428711, rollspeed : 0.00022965180687606335, pitchspeed : -0.00010239204857498407, yawspeed : 0.0002342853113077581}
ATTITUDE {time_boot_ms : 831915, roll : -0.08841902762651443, pitch : -0.022918518632650375, yaw : -2.210416316986084, rollspeed : 2.8138980269432068e-05, pitchspeed : -0.00024727164418436587, yawspeed : -0.00041890464490279555}
ATTITUDE {time_boot_ms : 831960, roll : -0.088394396007061, pitch : -0.02292439341545105, yaw : -2.210416316986084, rollspeed : 0.0005423105321824551, pitchspeed : -0.0004797444271389395, yawspeed : 0.00024721899535506964}
